task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
sympy,run_4,40.039975463,harness,40.92,11.09,15.61,32.15,9.47,6.14,26.71,5.44,0.91,10.12
sympy,run_4,40.039975463,tool,25.72,18.31,32.79,24.76,16.84,15.95,14.98,9.78,2.63,17.48
sympy,run_4,50.050973401,harness,41.02,7.88,14.71,36.51,5.58,9.13,29.82,6.68,1.57,5.96
sympy,run_4,50.050973401,tool,26.02,18.27,33.0,23.11,17.4,15.6,14.1,9.01,2.59,17.42
sympy,run_4,60.061500193,harness,39.1,7.56,14.09,40.66,4.86,9.23,34.44,6.23,1.21,5.97
sympy,run_4,60.061500193,tool,26.13,18.22,33.54,22.96,17.88,15.66,13.84,9.12,2.61,17.37
sympy,run_4,70.070974889,harness,39.03,7.39,13.17,39.98,4.67,8.5,33.67,6.31,1.2,5.8
sympy,run_4,70.070974889,tool,25.96,18.24,33.42,22.98,17.75,15.67,14.03,8.95,2.59,17.39
sympy,run_4,80.081973558,harness,40.48,6.98,13.39,38.7,4.62,8.77,31.85,6.85,1.2,6.13
sympy,run_4,80.081973558,tool,25.67,18.22,33.77,23.03,18.14,15.63,14.1,8.93,2.59,17.37
sympy,run_4,90.09197584,harness,37.82,6.78,13.84,40.2,4.43,9.41,34.16,6.04,1.18,5.97
sympy,run_4,90.09197584,tool,25.76,18.25,33.8,22.77,18.11,15.69,13.89,8.87,2.61,17.43
sympy,run_4,100.102995928,harness,34.44,6.86,13.64,46.19,4.53,9.12,42.13,4.06,1.2,6.25
sympy,run_4,100.102995928,tool,25.95,17.61,33.53,23.44,18.0,15.52,14.47,8.97,2.61,16.78
sympy,run_4,110.112974531,harness,39.77,6.22,14.06,38.51,4.19,9.87,32.2,6.31,1.21,5.34
sympy,run_4,110.112974531,tool,25.5,17.58,33.55,23.94,18.04,15.51,14.9,9.04,2.6,16.79
sympy,run_4,120.123972302,harness,39.9,6.26,15.03,40.6,4.28,10.75,31.96,8.64,1.58,4.33
sympy,run_4,120.123972302,tool,25.72,17.71,33.45,23.83,17.84,15.61,14.67,9.15,2.62,16.92
sympy,run_4,130.134971653,harness,39.72,6.9,14.18,39.16,4.15,10.02,31.64,7.52,1.57,4.93
sympy,run_4,130.134971653,tool,25.49,17.8,33.77,23.61,18.03,15.74,14.61,9.0,2.64,17.02
sympy,run_4,140.145293822,harness,37.93,6.43,13.51,40.57,3.71,9.8,33.72,6.84,1.18,4.86
sympy,run_4,140.145293822,tool,25.6,18.01,33.5,23.06,17.96,15.54,14.19,8.87,2.65,17.21
sympy,run_4,150.154978387,harness,38.98,6.36,14.77,41.03,3.67,11.1,32.92,8.12,1.2,4.81
sympy,run_4,150.154978387,tool,25.7,17.68,33.43,23.77,17.87,15.55,14.7,9.07,2.64,16.85
sympy,run_4,160.164975618,harness,38.91,6.14,14.33,42.06,4.09,10.24,34.18,7.88,1.57,4.9
sympy,run_4,160.164975618,tool,25.97,17.8,33.33,23.2,17.77,15.56,14.44,8.76,2.6,16.97
sympy,run_4,170.174977982,harness,36.45,6.09,14.33,40.08,4.12,10.22,34.01,6.07,1.57,4.9
sympy,run_4,170.174977982,tool,25.57,17.74,33.66,23.52,18.04,15.63,14.49,9.02,2.65,16.98
sympy,run_4,180.184980476,harness,39.47,6.44,14.39,39.43,4.41,9.98,31.47,7.96,1.96,5.19
sympy,run_4,180.184980476,tool,25.66,17.81,33.7,22.87,18.06,15.64,14.35,8.51,2.64,17.04
sympy,run_4,190.194972241,harness,40.05,6.72,14.09,41.74,3.96,10.14,33.14,8.6,1.18,5.13
sympy,run_4,190.194972241,tool,25.54,17.78,33.79,23.26,18.16,15.63,14.44,8.83,2.64,17.01
sympy,run_4,200.204971724,harness,40.29,7.22,14.89,39.96,5.63,9.27,32.25,7.72,2.33,5.28
sympy,run_4,200.204971724,tool,25.37,17.54,33.6,23.97,18.08,15.52,15.02,8.95,2.6,16.74
sympy,run_4,210.214974983,harness,34.66,7.1,15.33,41.87,5.53,9.8,35.67,6.21,2.35,5.14
sympy,run_4,210.214974983,tool,25.3,17.06,33.68,23.56,18.2,15.48,15.19,8.37,2.71,16.31
sympy,run_4,220.224973459,harness,34.79,7.08,14.93,49.11,5.51,9.42,41.78,7.33,2.35,5.12
