instance	language	mech	short	fence	live_ratio	boot_s	coverage	classified_pct	own_B	own_T	own_S	own_label	proc_B	proc_T	proc_S	proc_label	n_leaf	leaf_B	leaf_T	leaf_S	leaf_label	flags	n_receipts	top_procs
gin-gonic__gin-2121	Go	A	gin-gonic-t2121	18.5	0.98	0.0	98.6	94.4	42	57	1	T	63	36	1	B	6263	44	55	1	T	call-step-mismatch(43v39)	9269	compile=7.6  lint=5.9  build-drv=3.4  search=0.2  test-run=0.2
gin-gonic__gin-2755	Go	A	gin-gonic-t2755	69.0	0.93	0.0	98.4	95.9	19	80	0	T	76	23	0	B	15741	51	49	1	M	call-step-mismatch(131v120)	25141	compile=43.1  lint=14.1  build-drv=7.2  test-run=1.2  search=0.3
gin-gonic__gin-3227	Go	A	gin-gonic-t3227	62.2	1.11	0.0	97.9	79.5	36	63	1	T	71	28	1	B	15687	50	44	6	M	E7-consecutive-loop,call-step-mismatch(140v132)	325344	compile=23.7  lint=12.6  build-drv=11.3  test-run=1.1  search=0.7
gin-gonic__gin-3820	Go	A	gin-gonic-t3820	27.3	0.97	0.0	84.4	77.7	44	55	1	T	64	35	1	B	7746	45	54	1	M	call-step-mismatch(98v90)	11541	compile=9.1  lint=6.9  build-drv=4.5  test-run=0.5  search=0.2
gin-gonic__gin-4003	Go	A	gin-gonic-t4003	18.5	0.62	0.0	97.3	92.8	68	32	1	B	50	49	1	M	6271	37	62	1	T	call-step-mismatch(48v44)	9357	lint=8.0  compile=5.5  build-drv=3.1  test-run=0.3  search=0.2
gohugoio__hugo-12171	Go	A	gohugoio-t12171	735.8	1.06	270.5	93.0	91.9	9	91	0	T	78	22	0	B	52941	49	51	0	M	call-step-mismatch(173v169)	81604	compile=498.0  lint=74.2  test-run=71.2  build-drv=26.6  vcs=4.3
gohugoio__hugo-12204	Go	A	gohugoio-t12204	115.5	1.05	0.0	98.2	83.5	15	83	1	T	89	10	1	B	9411	65	31	4	B		322280	compile=71.1  build-drv=14.5  lint=9.0  vcs=6.7  search=1.4
gohugoio__hugo-12343	Go	A	gohugoio-t12343	321.2	0.77	137.7	98.4	97.7	36	64	0	T	83	17	0	B	29175	52	48	1	M	call-step-mismatch(138v131)	50385	compile=230.2  lint=38.4  build-drv=25.4  test-run=14.8  pkg=2.0
gohugoio__hugo-12448	Go	A	gohugoio-t12448	421.9	0.95	0.0	65.3	62.2	78	22	1	B	78	22	1	B	13686	48	49	3	M		44924	compile=184.9  test-run=36.7  lint=19.8  build-drv=19.8  search=1.4
gohugoio__hugo-12562	Go	A	gohugoio-t12562	271.1	0.96	0.0	98.9	98.1	33	67	0	T	83	16	0	B	15197	71	28	1	B	call-step-mismatch(124v114)	34072	compile=199.5  test-run=27.4  build-drv=21.7  lint=16.1  other=0.9
gohugoio__hugo-12579	Go	A	gohugoio-t12579	288.4	0.91	55.4	98.6	97.4	68	32	0	B	87	13	0	B	23335	50	50	0	M		33413	compile=220.5  lint=35.8  build-drv=19.7  vcs=2.5  pkg=1.9
gohugoio__hugo-12768	Go	A	gohugoio-t12768	98.8	1.33	0.0	98.4	87.2	9	91	0	T	90	10	0	B	6460	57	43	0	B	E7-consecutive-loop,call-step-mismatch(45v35)	315389	compile=70.4  build-drv=7.5  lint=7.4  test-run=0.8  vcs=0.2
google__gson-2061	Java	J	google-X2061	201.6		0.0	99.9	98.9	1	99	0	T	1	99	0	T	343	27	28	45	S		12000	test-run=170.2  runtime=26.6  compile=2.0  search=0.5  other=0.3
