"fence","metric","grp","col","n","median","mean","p5","p95","max"
"harness","Branch-direction MPKI","TypeScript","docusaurus-9897",201,2.824,6.30857611940298,0.8002,12.8291,13.5338
"harness","Branch-direction MPKI","TypeScript","immutable-js-2006",378,1.44455,5.06503201058201,0.57054,12.81319,13.7392
"harness","Context switches (/CPU-s)","C","jq-2598",140,131.9538,272.304193571429,0,669.68176,11808.6697
"harness","Context switches (/CPU-s)","C","micropython-13039",39,455.5809,812.038833333333,50.13748,1269.91921,11578.9474
"harness","Context switches (/CPU-s)","C","redis-12272",34,422.2431,462.099441176471,82.28942,835.127835,993.3775
"harness","Context switches (/CPU-s)","C++","fmt-2457",657,9.8357,103.753005327245,0,449.537079999999,11729.3233
"harness","Context switches (/CPU-s)","C++","fmt-3750",130,148.302,328.097380769231,9.831465,682.616545,12123.4386
"harness","Context switches (/CPU-s)","C++","fmt-3901",25,469.2833,1011.444264,126.34884,3169.35801999999,10493.8272
"harness","Context switches (/CPU-s)","C++","json-4237",147,121.3172,195.133889795918,9.81694,572.32637,1528.3843
"harness","Context switches (/CPU-s)","Go","caddy-4774",506,16.503,124.035335177866,0,495.160425,11251.8629
"harness","Context switches (/CPU-s)","Go","gin-2121",31,519.9307,997.818277419355,351.3434,2506.6518,11836.1153
"harness","Context switches (/CPU-s)","Go","hugo-12579",63,350.8772,607.20086984127,42.22845,664.41715,13454.1985
"harness","Context switches (/CPU-s)","Go","prometheus-10720",391,28.4738,149.422855242967,0,510.4105,11822.2892
"harness","Context switches (/CPU-s)","Java","gson-1093",52,315.40855,370.754009615385,121.936875,701.407205,1048.6177
"harness","Context switches (/CPU-s)","Java","gson-2134",38,434.6615,788.388536842105,57.370665,1110.639635,12387.3874
"harness","Context switches (/CPU-s)","Java","javaparser-4538",55,301.7005,615.803238181818,54.2696,751.62592,12934.2203
"harness","Context switches (/CPU-s)","Java","lombok-3479",367,29.976,153.121686103542,0,475.66548,12481.6446
"harness","Context switches (/CPU-s)","JavaScript","babel-15649",52,301.8478,564.485803846154,31.00219,966.029599999999,12148.1481
"harness","Context switches (/CPU-s)","JavaScript","preact-3763",41,333.1113,699.867385365854,56.2114,786.0262,10856.2691
"harness","Context switches (/CPU-s)","JavaScript","three.js-26589",211,76.8724,209.198808530806,0,498.91255,12772.3516
"harness","Context switches (/CPU-s)","PHP","carbon-2752",106,176.75215,406.609479245283,9.879775,807.113075,12776.9572
"harness","Context switches (/CPU-s)","PHP","framework-52684",57,313.3393,620.33269122807,30.41246,821.760039999999,11936.9369
"harness","Context switches (/CPU-s)","PHP","php-cs-fixer-8064",223,84.4595,225.172486098655,0,608.61354,12078.0195
"harness","Context switches (/CPU-s)","PHP","phpspreadsheet-3463",87,218.3803,344.489650574713,17.25071,965.49544,3891.9778
"harness","Context switches (/CPU-s)","Python","astropy",1050,9.8522,85.8829944761905,0,337.244495,11949.2158
"harness","Context switches (/CPU-s)","Python","scikit-learn",61,308.0082,541.136954098361,39.1543,769.2308,11039.4843
"harness","Context switches (/CPU-s)","Python","sympy",1631,9.8503,50.1266102391171,0,253.3596,3824.7012
"harness","Context switches (/CPU-s)","Ruby","fastlane-20958",60,225.88995,494.302285,42.354585,797.168945,12059.9251
"harness","Context switches (/CPU-s)","Ruby","fpm-1829",61,252.6848,345.282262295082,21.777,662.8003,3965.1071
"harness","Context switches (/CPU-s)","Ruby","rubocop-13560",402,22.78305,140.635174378109,0,530.661705,11895.9108
"harness","Context switches (/CPU-s)","Rust","axum-1730",112,192.99055,255.355578571429,18.107525,508.763279999999,4680.8511
"harness","Context switches (/CPU-s)","Rust","bat-2835",461,25.4615,101.194908893709,0,424.7573,3554.8686
"harness","Context switches (/CPU-s)","Rust","nushell-13831",67,213.025,455.293823880597,21.48735,696.52086,12302.8391
"harness","Context switches (/CPU-s)","Rust","ripgrep-2209",196,79.9259,179.163590306122,0,579.0032,4217.7914
"harness","Context switches (/CPU-s)","SPEC-fp","SPEC-fp",12,0,1.63299333333333,0,9.796925,9.80831
"harness","Context switches (/CPU-s)","SPEC-int","SPEC-int",14,0,2.457235,0,9.822807,9.8561
"harness","Context switches (/CPU-s)","TypeScript","docusaurus-10130",71,202.977,411.891721126761,11.86375,659.2325,11922.5037
"harness","Context switches (/CPU-s)","TypeScript","docusaurus-9897",91,205.6637,221.77827032967,10.09305,583.81315,798.4032
"harness","Context switches (/CPU-s)","TypeScript","immutable-js-2006",236,63.09715,143.442823728814,0,597.164875,1873.7673
"harness","DRAM read (GB/s)","C","jq-2598",277,0.061,0.333241516245487,0.0116,0.993019999999999,4.6746
"harness","DRAM read (GB/s)","C","micropython-13039",113,0.0203,0.0735274336283186,0.0113,0.16434,1.9323
"harness","DRAM read (GB/s)","C","redis-12272",101,0.0202,0.0780950495049505,0.0116,0.198,1.5289
"harness","DRAM read (GB/s)","C++","fmt-2457",881,0.4965,0.831193984108967,0.0119,4.2837,6.0881
"harness","DRAM read (GB/s)","C++","fmt-3750",251,0.0653,0.274949402390438,0.0118,0.77645,4.1518
"harness","DRAM read (GB/s)","C++","fmt-3901",83,0.0232,0.0865469879518072,0.0116,0.13074,3.4245
"harness","DRAM read (GB/s)","C++","json-4237",282,0.0707,0.314347872340426,0.0116,0.894995,4.4295
"harness","DRAM read (GB/s)","Go","caddy-4774",721,0.4693,0.727793897364771,0.0117,3.8662,5.8534
"harness","DRAM read (GB/s)","Go","gin-2121",79,0.0257,0.090746835443038,0.0117,0.1379,3.5411
"harness","DRAM read (GB/s)","Go","hugo-12579",143,0.0334,0.119687412587413,0.0117,0.36629,2.6754
"harness","DRAM read (GB/s)","Go","prometheus-10720",588,0.28125,0.673647619047619,0.0116,3.862375,5.5556
"harness","DRAM read (GB/s)","Java","gson-1093",128,0.02845,0.0970640625,0.0118,0.278075,1.9004
"harness","DRAM read (GB/s)","Java","gson-2134",104,0.028,0.0869701923076923,0.011515,0.220495,2.1718
"harness","DRAM read (GB/s)","Java","javaparser-4538",142,0.0347,0.133868309859155,0.011105,0.289635,3.7382
